Date,Weekly New Cases,Cohort,Season
7/5/2015,0,Community,
7/12/2015,0,Community,
7/19/2015,0,Community,
7/26/2015,0,Community,
8/2/2015,0,Community,2015-2016
8/9/2015,0,Community,2015-2016
8/16/2015,0,Community,2015-2016
8/23/2015,0,Community,2015-2016
8/30/2015,0,Community,2015-2016
9/6/2015,0,Community,2015-2016
9/13/2015,0,Community,2015-2016
9/20/2015,0,Community,2015-2016
9/27/2015,0,Community,2015-2016
10/4/2015,0,Community,2015-2016
10/11/2015,0,Community,2015-2016
10/18/2015,0,Community,2015-2016
10/25/2015,2,Community,2015-2016
11/1/2015,2,Community,2015-2016
11/8/2015,0,Community,2015-2016
11/15/2015,0,Community,2015-2016
11/22/2015,0,Community,2015-2016
11/29/2015,0,Community,2015-2016
12/6/2015,0,Community,2015-2016
12/13/2015,1,Community,2015-2016
12/20/2015,0,Community,2015-2016
12/27/2015,0,Community,2015-2016
1/3/2016,1,Community,2015-2016
1/10/2016,1,Community,2015-2016
1/17/2016,2,Community,2015-2016
1/24/2016,0,Community,2015-2016
1/31/2016,0,Community,2015-2016
2/7/2016,6,Community,2015-2016
2/14/2016,9,Community,2015-2016
2/21/2016,0,Community,2015-2016
2/28/2016,38,Community,2015-2016
3/6/2016,28,Community,2015-2016
3/13/2016,49,Community,2015-2016
3/20/2016,25,Community,2015-2016
3/27/2016,34,Community,2015-2016
4/3/2016,28,Community,2015-2016
4/10/2016,22,Community,2015-2016
4/17/2016,36,Community,2015-2016
4/24/2016,28,Community,2015-2016
5/1/2016,48,Community,2015-2016
5/8/2016,2,Community,2015-2016
5/15/2016,1,Community,2015-2016
5/22/2016,3,Community,2015-2016
5/29/2016,3,Community,2015-2016
6/5/2016,1,Community,2015-2016
6/12/2016,0,Community,2015-2016
6/19/2016,0,Community,2015-2016
6/26/2016,0,Community,2015-2016
7/3/2016,0,Community,
7/10/2016,0,Community,
7/17/2016,0,Community,
7/24/2016,0,Community,
7/31/2016,0,Community,
8/7/2016,0,Community,2016-2017
8/14/2016,0,Community,2016-2017
8/21/2016,0,Community,2016-2017
8/28/2016,0,Community,2016-2017
9/4/2016,0,Community,2016-2017
9/11/2016,0,Community,2016-2017
9/18/2016,0,Community,2016-2017
9/25/2016,0,Community,2016-2017
10/2/2016,0,Community,2016-2017
10/9/2016,0,Community,2016-2017
10/16/2016,0,Community,2016-2017
10/23/2016,0,Community,2016-2017
10/30/2016,0,Community,2016-2017
11/6/2016,0,Community,2016-2017
11/13/2016,2,Community,2016-2017
11/20/2016,0,Community,2016-2017
11/27/2016,3,Community,2016-2017
12/4/2016,16,Community,2016-2017
12/11/2016,41,Community,2016-2017
12/18/2016,54,Community,2016-2017
12/25/2016,50,Community,2016-2017
1/1/2017,51,Community,2016-2017
1/8/2017,32,Community,2016-2017
1/15/2017,67,Community,2016-2017
1/22/2017,51,Community,2016-2017
1/29/2017,58,Community,2016-2017
2/5/2017,69,Community,2016-2017
2/12/2017,69,Community,2016-2017
2/19/2017,72,Community,2016-2017
2/26/2017,40,Community,2016-2017
3/5/2017,41,Community,2016-2017
3/12/2017,31,Community,2016-2017
3/19/2017,29,Community,2016-2017
3/26/2017,19,Community,2016-2017
4/2/2017,14,Community,2016-2017
4/9/2017,20,Community,2016-2017
4/16/2017,8,Community,2016-2017
4/23/2017,6,Community,2016-2017
4/30/2017,3,Community,2016-2017
5/7/2017,0,Community,2016-2017
5/14/2017,0,Community,2016-2017
5/21/2017,1,Community,2016-2017
5/28/2017,0,Community,2016-2017
6/4/2017,0,Community,2016-2017
6/11/2017,0,Community,2016-2017
6/18/2017,0,Community,2016-2017
6/25/2017,0,Community,2016-2017
7/2/2017,0,Community,
7/9/2017,0,Community,
7/16/2017,0,Community,
7/23/2017,0,Community,
7/30/2017,1,Community,
8/6/2017,3,Community,2017-2018
8/13/2017,0,Community,2017-2018
8/20/2017,3,Community,2017-2018
8/27/2017,0,Community,2017-2018
9/3/2017,0,Community,2017-2018
9/10/2017,0,Community,2017-2018
9/17/2017,0,Community,2017-2018
9/24/2017,2,Community,2017-2018
10/1/2017,1,Community,2017-2018
10/8/2017,0,Community,2017-2018
10/15/2017,3,Community,2017-2018
10/22/2017,0,Community,2017-2018
10/29/2017,1,Community,2017-2018
11/5/2017,2,Community,2017-2018
11/12/2017,2,Community,2017-2018
11/19/2017,0,Community,2017-2018
11/26/2017,1,Community,2017-2018
12/3/2017,3,Community,2017-2018
12/10/2017,16,Community,2017-2018
12/17/2017,22,Community,2017-2018
12/24/2017,41,Community,2017-2018
12/31/2017,52,Community,2017-2018
1/7/2018,88,Community,2017-2018
1/14/2018,118,Community,2017-2018
1/21/2018,257,Community,2017-2018
1/28/2018,271,Community,2017-2018
2/4/2018,196,Community,2017-2018
2/11/2018,189,Community,2017-2018
2/18/2018,106,Community,2017-2018
2/25/2018,116,Community,2017-2018
3/4/2018,34,Community,2017-2018
3/11/2018,61,Community,2017-2018
3/18/2018,34,Community,2017-2018
3/25/2018,38,Community,2017-2018
4/1/2018,31,Community,2017-2018
4/8/2018,25,Community,2017-2018
4/15/2018,15,Community,2017-2018
4/22/2018,38,Community,2017-2018
4/29/2018,13,Community,2017-2018
5/6/2018,6,Community,2017-2018
5/13/2018,8,Community,2017-2018
5/20/2018,2,Community,2017-2018
5/27/2018,0,Community,2017-2018
6/3/2018,1,Community,2017-2018
6/10/2018,0,Community,2017-2018
6/17/2018,0,Community,2017-2018
6/24/2018,0,Community,2017-2018
7/1/2018,0,Community,
7/8/2018,0,Community,
7/15/2018,0,Community,
7/22/2018,0,Community,
7/29/2018,0,Community,
8/5/2018,0,Community,2018-2019
8/12/2018,0,Community,2018-2019
8/19/2018,0,Community,2018-2019
8/26/2018,0,Community,2018-2019
9/2/2018,0,Community,2018-2019
9/9/2018,0,Community,2018-2019
9/16/2018,0,Community,2018-2019
9/23/2018,0,Community,2018-2019
9/30/2018,0,Community,2018-2019
10/7/2018,0,Community,2018-2019
10/14/2018,0,Community,2018-2019
10/21/2018,2,Community,2018-2019
10/28/2018,0,Community,2018-2019
11/4/2018,0,Community,2018-2019
11/11/2018,0,Community,2018-2019
11/18/2018,3,Community,2018-2019
11/25/2018,2,Community,2018-2019
12/2/2018,5,Community,2018-2019
12/9/2018,15,Community,2018-2019
12/16/2018,10,Community,2018-2019
12/23/2018,26,Community,2018-2019
12/30/2018,16,Community,2018-2019
1/6/2019,32,Community,2018-2019
1/13/2019,104,Community,2018-2019
1/20/2019,80,Community,2018-2019
1/27/2019,91,Community,2018-2019
2/3/2019,130,Community,2018-2019
2/10/2019,124,Community,2018-2019
2/17/2019,154,Community,2018-2019
2/24/2019,138,Community,2018-2019
3/3/2019,280,Community,2018-2019
3/10/2019,59,Community,2018-2019
3/17/2019,110,Community,2018-2019
3/24/2019,86,Community,2018-2019
3/31/2019,53,Community,2018-2019
4/7/2019,19,Community,2018-2019
4/14/2019,32,Community,2018-2019
4/21/2019,9,Community,2018-2019
4/28/2019,2,Community,2018-2019
5/5/2019,3,Community,2018-2019
5/12/2019,1,Community,2018-2019
5/19/2019,6,Community,2018-2019
5/26/2019,2,Community,2018-2019
6/2/2019,0,Community,2018-2019
6/9/2019,2,Community,2018-2019
6/16/2019,3,Community,2018-2019
6/23/2019,0,Community,2018-2019
6/30/2019,0,Community,2018-2019
7/7/2019,0,Community,
7/14/2019,0,Community,
7/21/2019,0,Community,
7/28/2019,0,Community,
8/4/2019,0,Community,2019-2020
8/11/2019,0,Community,2019-2020
8/18/2019,0,Community,2019-2020
8/25/2019,3,Community,2019-2020
9/1/2019,3,Community,2019-2020
9/8/2019,2,Community,2019-2020
9/15/2019,1,Community,2019-2020
9/22/2019,2,Community,2019-2020
9/29/2019,0,Community,2019-2020
10/6/2019,2,Community,2019-2020
10/13/2019,0,Community,2019-2020
10/20/2019,0,Community,2019-2020
10/27/2019,2,Community,2019-2020
11/3/2019,2,Community,2019-2020
11/10/2019,0,Community,2019-2020
11/17/2019,0,Community,2019-2020
11/24/2019,0,Community,2019-2020
12/1/2019,2,Community,2019-2020
12/8/2019,0,Community,2019-2020
12/15/2019,35,Community,2019-2020
12/22/2019,48,Community,2019-2020
12/29/2019,67,Community,2019-2020
1/5/2020,49,Community,2019-2020
1/12/2020,184,Community,2019-2020
1/19/2020,144,Community,2019-2020
1/26/2020,125,Community,2019-2020
2/2/2020,249,Community,2019-2020
2/9/2020,191,Community,2019-2020
2/16/2020,276,Community,2019-2020
2/23/2020,184,Community,2019-2020
3/1/2020,157,Community,2019-2020
3/8/2020,104,Community,2019-2020
3/15/2020,53,Community,2019-2020
3/22/2020,6,Community,2019-2020
3/29/2020,3,Community,2019-2020
4/5/2020,0,Community,2019-2020
4/12/2020,0,Community,2019-2020
4/19/2020,0,Community,2019-2020
4/26/2020,3,Community,2019-2020
5/3/2020,0,Community,2019-2020
5/10/2020,0,Community,2019-2020
5/17/2020,0,Community,2019-2020
5/24/2020,0,Community,2019-2020
5/31/2020,0,Community,2019-2020
6/7/2020,0,Community,2019-2020
6/14/2020,0,Community,2019-2020
6/21/2020,0,Community,2019-2020
6/28/2020,0,Community,2019-2020
7/5/2020,0,Community,
7/12/2020,0,Community,
7/19/2020,0,Community,
7/26/2020,0,Community,
8/2/2020,0,Community,2020-2021
8/9/2020,0,Community,2020-2021
8/16/2020,0,Community,2020-2021
8/23/2020,0,Community,2020-2021
8/30/2020,2,Community,2020-2021
9/6/2020,0,Community,2020-2021
9/13/2020,0,Community,2020-2021
9/20/2020,0,Community,2020-2021
9/27/2020,1,Community,2020-2021
10/4/2020,0,Community,2020-2021
10/11/2020,2,Community,2020-2021
10/18/2020,0,Community,2020-2021
10/25/2020,2,Community,2020-2021
11/1/2020,0,Community,2020-2021
11/8/2020,0,Community,2020-2021
11/15/2020,0,Community,2020-2021
11/22/2020,3,Community,2020-2021
11/29/2020,3,Community,2020-2021
12/6/2020,2,Community,2020-2021
12/13/2020,2,Community,2020-2021
12/20/2020,0,Community,2020-2021
12/27/2020,1,Community,2020-2021
1/3/2021,3,Community,2020-2021
1/10/2021,0,Community,2020-2021
1/17/2021,3,Community,2020-2021
1/24/2021,0,Community,2020-2021
1/31/2021,0,Community,2020-2021
2/7/2021,2,Community,2020-2021
2/14/2021,0,Community,2020-2021
2/21/2021,0,Community,2020-2021
2/28/2021,0,Community,2020-2021
3/7/2021,0,Community,2020-2021
3/14/2021,3,Community,2020-2021
3/21/2021,0,Community,2020-2021
3/28/2021,0,Community,2020-2021
4/4/2021,0,Community,2020-2021
4/11/2021,0,Community,2020-2021
4/18/2021,0,Community,2020-2021
4/25/2021,0,Community,2020-2021
5/2/2021,0,Community,2020-2021
5/9/2021,0,Community,2020-2021
5/16/2021,0,Community,2020-2021
5/23/2021,0,Community,2020-2021
5/30/2021,0,Community,2020-2021
6/6/2021,0,Community,2020-2021
6/13/2021,0,Community,2020-2021
6/20/2021,0,Community,2020-2021
6/27/2021,0,Community,2020-2021
7/4/2021,0,Community,
7/11/2021,0,Community,
7/18/2021,0,Community,
7/25/2021,0,Community,
8/1/2021,0,Community,2021-2022
8/8/2021,0,Community,2021-2022
8/15/2021,0,Community,2021-2022
8/22/2021,0,Community,2021-2022
8/29/2021,0,Community,2021-2022
9/5/2021,0,Community,2021-2022
9/12/2021,0,Community,2021-2022
9/19/2021,0,Community,2021-2022
9/26/2021,0,Community,2021-2022
10/3/2021,0,Community,2021-2022
10/10/2021,0,Community,2021-2022
10/17/2021,2,Community,2021-2022
10/24/2021,0,Community,2021-2022
10/31/2021,16,Community,2021-2022
11/7/2021,190,Community,2021-2022
11/14/2021,244,Community,2021-2022
11/21/2021,128,Community,2021-2022
11/28/2021,100,Community,2021-2022
12/5/2021,85,Community,2021-2022
12/12/2021,50,Community,2021-2022
12/19/2021,46,Community,2021-2022
12/26/2021,49,Community,2021-2022
1/2/2022,29,Community,2021-2022
1/9/2022,44,Community,2021-2022
1/16/2022,15,Community,2021-2022
1/23/2022,25,Community,2021-2022
1/30/2022,25,Community,2021-2022
2/6/2022,16,Community,2021-2022
2/13/2022,19,Community,2021-2022
2/20/2022,26,Community,2021-2022
2/27/2022,69,Community,2021-2022
3/6/2022,24,Community,2021-2022
3/13/2022,29,Community,2021-2022
3/20/2022,14,Community,2021-2022
3/27/2022,11,Community,2021-2022
4/3/2022,19,Community,2021-2022
4/10/2022,8,Community,2021-2022
4/17/2022,10,Community,2021-2022
4/24/2022,34,Community,2021-2022
5/1/2022,14,Community,2021-2022
5/8/2022,8,Community,2021-2022
5/15/2022,8,Community,2021-2022
5/22/2022,8,Community,2021-2022
5/29/2022,7,Community,2021-2022
6/5/2022,0,Community,2021-2022
6/12/2022,0,Community,2021-2022
6/19/2022,0,Community,2021-2022
6/26/2022,0,Community,2021-2022
7/3/2022,0,Community,
7/10/2022,0,Community,
7/17/2022,1,Community,
7/24/2022,0,Community,
7/31/2022,2,Community,
8/7/2022,0,Community,2022-2023
8/14/2022,3,Community,2022-2023
8/21/2022,0,Community,2022-2023
8/28/2022,0,Community,2022-2023
9/4/2022,3,Community,2022-2023
9/11/2022,1,Community,2022-2023
9/18/2022,0,Community,2022-2023
9/25/2022,0,Community,2022-2023
10/2/2022,1,Community,2022-2023
10/9/2022,8,Community,2022-2023
10/16/2022,12,Community,2022-2023
10/23/2022,24,Community,2022-2023
10/30/2022,101,Community,2022-2023
11/6/2022,102,Community,2022-2023
11/13/2022,147,Community,2022-2023
11/20/2022,149,Community,2022-2023
11/27/2022,233,Community,2022-2023
12/4/2022,311,Community,2022-2023
12/11/2022,326,Community,2022-2023
12/18/2022,299,Community,2022-2023
12/25/2022,225,Community,2022-2023
1/1/2023,115,Community,2022-2023
